Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
complete,35,dylan,318
musical,26,music,213
amazing,24,bob,168
bob,23,chalamet,110
pete,22,life,50
early,21,folk,48
interesting,19,biopic,46
unknown,19,songs,46
timothy,17,fan,43
incredible,17,timothee,38
enjoyable,15,norton,36
wonderful,14,actor,32
real,14,seeger,28
long,14,joan,27
electric,13,baez,27
dylan,12,singing,27
young,11,history,25
outstanding,11,timothée,23
worth,10,job,23
beautiful,10,barbaro,22
huge,10,artist,20
timothée,9,portrayal,20
iconic,9,era,20
authentic,9,man,18
big,9,monica,18
fabulous,9,oscar,17
old,8,james,17
boring,8,period,17
hard,8,song,16
strong,7,guitar,16
