Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
black,110,minecraft,135
funny,67,kids,103
jason,22,game,97
old,21,jack,91
entertaining,20,jockey,42
fun,18,chicken,40
real,16,momoa,33
enjoyable,15,plot,25
hilarious,15,son,25
big,13,family,24
amazing,13,película,24
terrible,13,fan,22
hard,12,humor,21
dumb,11,jason,21
cool,10,fans,20
peak,10,adults,20
los,10,kid,20
creative,8,jokes,18
silly,8,cgi,18
special,8,steve,15
stupid,8,life,15
fair,7,daughter,15
worth,7,storyline,14
chaotic,7,children,14
original,7,creativity,14
emotional,6,video,13
las,6,mamoa,13
awful,5,pero,13
popular,5,expectations,12
huge,5,memes,12
