Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
simple,63,kendrick,137
funny,31,plot,93
entertaining,23,twists,84
dark,22,comedy,71
interesting,20,anna,68
twisted,17,thriller,65
enjoyable,16,mystery,62
predictable,15,blake,55
ridiculous,14,twist,43
terrible,13,girl,40
mysterious,13,stephanie,37
hard,12,feig,33
suspenseful,12,paul,24
amazing,11,humor,23
comedic,11,suspense,22
twisty,11,friend,17
hilarious,11,life,15
horrible,10,dark,14
serious,10,book,13
worth,10,music,12
real,10,work,12
interested,10,sense,12
cool,8,chemistry,12
fun,8,friends,12
strong,7,husband,11
intriguing,7,half,11
awful,7,direction,10
single,7,wow,10
unique,7,golding,10
clever,7,funny,9
