Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
statham,38,jason,187
predictable,28,statham,158
typical,18,plot,52
jason,17,man,52
working,17,beekeeper,29
terrible,16,guys,23
russian,15,storyline,20
old,10,daughter,17
human,10,fan,17
poor,9,guy,16
big,9,girl,16
awful,9,writing,14
generic,8,dialogue,14
amazing,8,wick,13
hard,8,construction,13
long,8,actor,13
real,8,stallone,13
horrible,7,villains,13
military,7,john,12
david,7,sequel,12
emotional,7,dialog,11
fun,7,levon,11
forgettable,7,ayer,11
low,6,family,10
ridiculous,6,someone,10
entertaining,6,critics,10
wrong,6,life,10
special,6,flick,9
liam,6,violence,9
dark,6,job,8
