Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
russian,39,sex,125
funny,33,oscar,82
mikey,32,picture,81
pretty,31,madison,80
sean,27,anora,72
real,21,woman,56
predictable,21,oscars,48
terrible,18,plot,47
interesting,18,awards,46
porn,18,life,43
soft,15,comedy,43
boring,15,actress,43
modern,14,mikey,40
special,14,baker,37
hard,13,ani,33
anora,13,half,32
sad,13,award,30
awful,13,money,29
incredible,12,hours,27
realistic,12,love,25
long,11,hollywood,24
best,11,igor,23
strong,11,porn,22
young,10,drugs,20
enjoyable,10,worker,19
wrong,10,academy,19
original,10,cinderella,19
academy,10,hype,19
horrible,10,act,18
big,10,hour,17
