Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
simple,81,blake,93
original,35,plot,91
terrible,31,sequel,86
beautiful,22,kendrick,82
funny,20,anna,77
ridiculous,19,twists,43
predictable,18,chemistry,30
hard,18,comedy,27
fun,13,capri,24
interesting,12,mystery,21
real,11,sense,20
gorgeous,11,feig,19
top,11,life,19
enjoyable,11,fashion,18
entertaining,10,paul,18
poor,10,waste,16
horrible,10,twist,15
hilarious,10,scenery,15
stylish,10,writing,15
sharp,10,humor,15
twisted,9,simple,14
awful,9,half,14
long,9,charm,13
big,9,cringe,13
dark,9,dialogue,13
italian,8,job,12
stupid,8,mess,12
worth,8,intrigue,12
flat,8,storyline,11
witty,7,favour,11
