Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
nicole,136,kidman,147
sexual,44,sex,58
real,39,woman,56
erotic,33,plot,48
interesting,25,husband,37
unrealistic,21,life,35
old,21,women,32
uncomfortable,20,babygirl,32
young,19,chemistry,30
sexy,18,thriller,30
weird,17,banderas,29
boring,16,dickinson,29
horrible,15,money,26
female,15,romy,25
terrible,15,shades,23
short,14,nicole,21
hard,12,tension,20
poor,12,relationship,20
emotional,11,guy,19
wrong,11,harris,19
flat,10,storyline,19
believable,10,affair,18
predictable,10,sexuality,17
wide,10,dynamics,17
submissive,10,waste,17
funny,10,man,17
harris,10,porn,16
kidman,10,samuel,15
hot,10,sense,14
intern,10,dialogue,14
