Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
original,210,beetlejuice,193
michael,46,sequel,113
tim,42,burton,87
funny,38,keaton,86
winona,24,plot,66
old,23,lydia,34
classic,19,ryder,33
long,19,effects,31
enjoyable,16,daughter,29
entertaining,16,jenna,28
hard,14,ortega,27
worth,14,fan,27
terrible,14,storyline,26
real,12,job,22
disappointing,12,charm,21
lydia,12,sequels,20
iconic,12,tim,19
slow,12,lines,19
fun,11,feel,18
musical,11,o'hara,18
nostalgic,10,catherine,18
practical,10,humor,17
horrible,10,family,16
hilarious,10,fans,15
amazing,10,style,15
visual,10,nostalgia,15
disappointed,10,dafoe,14
special,9,comedy,14
poor,9,life,14
boring,9,song,14
