Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
slow,63,spy,106
hard,34,plot,75
spy,33,thriller,59
boring,27,fassbender,39
black,26,blanchett,37
british,22,dialogue,36
interesting,15,soderbergh,30
terrible,14,bag,26
cool,13,twists,24
stylish,13,cate,20
psychological,12,george,19
sophisticated,12,boring,17
smart,11,mystery,17
long,10,michael,15
tight,10,tension,14
difficult,9,dinner,13
worth,9,style,12
top,9,suspense,12
classic,8,burn,12
clever,8,twist,12
steven,8,start,11
cerebral,8,espionage,11
entertaining,8,brosnan,11
low,7,wife,11
michael,7,intrigue,11
cate,7,money,10
small,7,direction,10
short,7,storyline,10
sleek,7,work,10
poor,7,beginning,10
