Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
black,135,widow,136
natasha,23,marvel,109
marvel,20,mcu,89
amazing,18,family,52
civil,17,natasha,49
entertaining,16,pugh,49
funny,15,taskmaster,48
big,15,florence,47
fun,14,yelena,47
interesting,13,johansson,45
terrible,13,plot,45
emotional,13,villain,43
boring,12,cgi,35
russian,12,scarlett,30
enjoyable,12,war,28
mcu,12,endgame,25
strong,10,romanoff,23
real,10,avengers,22
long,10,sister,22
disappointing,10,spy,21
forgettable,10,act,19
special,9,superhero,18
scarlett,9,universe,18
potential,9,guardian,17
wrong,8,harbour,17
fine,8,past,16
horrible,8,fight,15
unnecessary,8,disney,15
não,8,room,14
awful,8,phase,13
