Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
america,27,captain,159
marvel,25,america,134
terrible,21,marvel,120
special,19,hulk,120
incredible,17,mackie,67
sam,17,mcu,64
old,17,plot,50
real,15,ford,49
interesting,14,anthony,49
enjoyable,14,harrison,38
anthony,13,sam,37
worth,13,villain,36
predictable,12,falcon,31
fun,12,cap,31
cool,12,wilson,24
poor,12,soldier,23
hard,11,avengers,21
awful,11,cgi,21
short,11,disney,20
political,11,winter,19
forgettable,10,superhero,16
recent,9,fight,15
big,9,opinion,14
average,8,effects,14
strong,8,ross,14
clear,8,series,13
steve,8,sequences,12
harrison,8,boring,12
mcu,7,dialogue,12
entertaining,7,job,12
