Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
scary,34,horror,104
funny,29,slasher,76
fun,27,clown,51
predictable,18,cornfield,39
clown,16,clowns,37
terrible,13,plot,37
entertaining,11,kills,34
modern,11,book,32
old,11,killer,24
original,10,gore,21
real,10,comedy,18
cool,8,town,17
big,8,scares,15
typical,7,money,15
pretty,7,twist,13
enjoyable,7,humor,13
teen,7,teenagers,12
basic,7,flick,11
classic,7,cheesy,11
small,6,expectations,11
slasher,6,twists,11
stupid,6,adults,10
worth,6,teens,10
strong,6,girl,10
long,6,frendo,9
eli,6,jump,8
hilarious,5,life,8
unexpected,5,suspense,8
slow,5,waste,8
local,5,group,8
