Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
entertaining,26,plot,76
interesting,26,thatcher,70
funny,23,sophie,65
dark,22,companion,64
predictable,21,quaid,55
original,19,twists,54
enjoyable,17,jack,53
clever,14,horror,40
worth,14,thriller,39
fresh,13,comedy,37
strong,13,robot,37
smart,13,trailer,35
cool,13,twist,32
real,13,iris,31
amazing,13,concept,23
unique,12,robots,19
human,11,premise,17
uma,11,relationships,17
emotional,10,humor,17
slow,10,future,16
unexpected,10,trailers,16
fun,10,josh,16
lukas,9,idea,15
big,9,surprise,14
boring,9,sense,13
black,8,start,13
engaging,8,ride,12
stupid,8,hancock,12
sophie,7,com,12
certain,7,job,11
