Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
catholic,53,pope,88
interesting,33,conclave,86
slow,31,fiennes,76
political,27,church,75
vatican,20,plot,63
cardinal,19,twist,53
religious,17,ralph,48
boring,15,cardinals,28
beautiful,14,thriller,27
top,14,twists,23
amazing,13,politics,23
worth,13,tucci,23
real,12,intrigue,19
ralph,12,oscar,18
wonderful,12,suspense,16
papal,12,storyline,16
strong,12,hollywood,15
suspenseful,12,tension,15
modern,11,mystery,15
incredible,11,lithgow,15
big,10,surprise,14
clear,9,lawrence,14
dramatic,9,man,13
shot,8,men,13
fine,8,election,13
entertaining,8,direction,12
easy,8,como,12
intriguing,8,music,12
human,8,faith,12
unexpected,8,tense,11
