Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
funny,66,horror,92
fun,31,unicorns,84
entertaining,27,rudd,69
original,26,death,68
unique,22,comedy,60
dark,21,jenna,55
predictable,20,ortega,50
scary,20,paul,50
amazing,17,gore,40
hilarious,17,cgi,37
ortega,16,plot,34
big,16,park,23
real,15,fantasy,21
interesting,14,daughter,20
enjoyable,14,idea,18
worth,13,family,18
wild,13,storyline,18
paul,12,creature,18
top,12,premise,17
fantasy,12,satire,16
special,11,effects,15
stupid,11,humor,15
slow,11,critics,14
weird,10,father,14
campy,10,leoni,13
ridiculous,9,fan,12
wonderful,9,concept,12
cool,8,carrigan,12
horrible,8,elliot,11
modern,8,budget,11
