Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
suspenseful,36,thriller,68
predictable,23,plot,66
entertaining,19,date,61
terrible,18,drop,59
fun,18,edge,45
ridiculous,14,suspense,41
slow,14,violet,32
unrealistic,13,restaurant,29
believable,12,fahy,24
enjoyable,12,twists,23
hard,11,tension,22
simple,10,woman,20
worth,10,phone,20
real,10,guy,19
happy,9,blumhouse,18
interesting,9,job,17
intense,9,concept,16
scary,8,sister,16
strong,8,premise,16
tense,8,twist,15
unbelievable,8,mystery,15
modern,7,henry,15
obvious,7,meghann,14
horrible,7,someone,14
cheesy,7,act,13
top,7,sense,13
serious,6,messages,13
potential,6,person,13
low,6,hour,12
emotional,6,storyline,12
