Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
funny,42,hartnett,89
josh,32,josh,68
fun,30,train,53
entertaining,23,bullet,45
top,17,plot,42
bloody,14,fight,42
violent,11,plane,41
gory,11,flight,39
big,10,comedy,30
non-stop,9,ride,30
worth,9,humor,29
similar,8,sequel,27
serious,8,violence,22
ridiculous,8,blood,21
hilarious,8,gore,16
wild,8,funny,14
comedic,8,flick,12
crazy,8,john,12
enjoyable,7,start,11
interesting,7,twists,10
over-the-top,7,kills,9
predictable,7,harnett,9
amazing,6,sequences,9
wick,6,wick,9
action-packed,5,guy,9
original,5,star,8
poor,5,money,8
short,5,storyline,8
easy,5,dialogue,8
typical,5,premise,8
