Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
original,51,death,199
interesting,39,destination,167
scary,33,horror,150
creative,31,plane,63
suspenseful,24,franchise,59
alex,22,deaths,59
unique,21,premise,51
teen,19,series,51
cool,18,idea,47
entertaining,18,concept,45
enjoyable,17,sequels,34
predictable,15,plot,34
fun,15,gore,29
classic,15,slasher,27
uma,13,sawa,25
clear,12,suspense,24
intriguing,12,larter,24
dumb,11,kills,20
terrible,11,effects,19
tony,11,thriller,18
dark,11,alex,18
special,11,survivors,17
ali,11,devon,17
ridiculous,11,james,17
grim,10,group,17
gruesome,10,premonition,16
young,10,job,16
supernatural,10,killer,16
real,10,school,15
stupid,10,life,15
