Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
tony,23,franchise,106
creative,21,destination,101
predictable,17,death,60
amazing,15,deaths,46
fresh,14,series,43
real,12,bloodlines,41
original,12,todd,40
funny,12,kills,28
old,11,fan,28
crazy,11,horror,25
worth,11,edge,22
fun,10,gore,21
scary,9,plot,20
gruesome,9,tony,19
intense,8,storyline,17
long,8,fans,15
expert,8,ones,15
entertaining,7,family,15
emotional,7,beginning,13
interesting,7,suspense,12
gory,7,installment,12
classic,7,start,11
brutal,6,gory,11
big,6,others,11
strong,6,twists,11
possible,6,recovery,11
inventive,5,effects,10
top,5,cgi,10
bloody,5,blood,10
recommend,5,disappoint,10
