Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
historical,39,gladiator,126
epic,28,crowe,98
top,27,scott,66
emotional,26,russell,57
amazing,25,maximus,52
classic,22,phoenix,49
beautiful,19,ridley,47
ancient,16,masterpiece,46
outstanding,14,joaquin,37
incredible,13,epic,37
strong,12,history,36
original,12,rome,32
old,11,revenge,32
roman,10,commodus,32
real,10,plot,29
big,10,music,27
maximus,9,soundtrack,22
unforgettable,9,roman,21
phenomenal,8,hans,20
modern,8,life,19
entertaining,8,battle,18
political,8,sequel,18
long,8,man,17
joaquin,8,direction,17
general,8,emperor,16
brutal,8,fight,15
intense,7,honor,15
memorable,7,russel,15
personal,7,villain,13
visual,6,actor,13
