Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
original,158,gladiator,215
terrible,43,sequel,96
mescal,30,denzel,90
poor,26,cgi,62
real,25,washington,56
historical,25,plot,55
big,24,scott,47
hard,23,ridley,42
denzel,23,crowe,34
predictable,22,sharks,33
paul,21,emperors,29
ridiculous,20,rome,25
emotional,19,storyline,25
pascal,17,fight,23
pedro,16,predecessor,22
awful,16,sense,21
fine,15,writing,21
disappointing,15,mescal,20
disappointed,14,dialogue,20
entertaining,14,maximus,20
boring,13,battle,20
stupid,12,development,19
short,11,russell,19
worth,11,history,18
special,10,actor,18
complete,10,epic,17
strong,10,masterpiece,17
unnecessary,10,star,16
huge,10,disappointment,16
wrong,9,lead,16
