Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
tom,58,hardy,154
terrible,45,tom,115
hardy,33,plot,109
top,32,cgi,86
real,30,havoc,69
hard,27,violence,56
unrealistic,25,evans,52
ridiculous,24,fight,47
poor,23,blood,46
big,20,raid,45
gritty,17,camera,39
violent,17,bullets,37
shaky,17,sequences,34
gareth,16,john,34
chaotic,16,gareth,33
wrong,15,guns,33
brutal,15,car,31
unlimited,14,wick,28
cool,13,work,28
classic,12,guys,27
complete,12,waste,27
old,12,fan,25
low,12,cop,24
awful,11,game,22
netflix,11,choreography,21
infinite,11,netflix,21
american,11,whitaker,21
endless,10,actor,21
timothy,10,storyline,20
long,10,video,20
