Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
funny,65,horror,147
scary,39,slasher,114
romantic,30,comedy,79
predictable,19,heart,74
slasher,18,eyes,69
gory,16,plot,49
rom-com,15,day,45
fun,15,killer,42
terrible,14,gore,38
creative,12,kills,38
happy,12,romance,36
big,12,scream,34
cheesy,12,twist,32
horrible,11,valentine,31
enjoyable,10,cheesy,26
modern,10,humor,23
classic,10,chemistry,23
comedic,10,rom,21
cool,8,com,20
bloody,8,fan,19
typical,8,valentines,19
cute,7,holt,18
olivia,7,couple,17
interesting,7,leads,17
hilarious,7,flick,17
stupid,7,gory,17
hard,6,jump,17
flat,6,rom-com,16
amazing,6,love,16
real,6,genres,15
