Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
hugh,85,grant,212
religious,62,horror,128
interesting,42,hugh,111
psychological,38,religion,96
heretic,37,thriller,45
scary,24,plot,33
philosophical,23,half,32
slow,20,heretic,29
young,19,faith,29
suspenseful,17,dialogue,29
original,16,tension,24
intellectual,14,missionaries,23
hard,14,girls,23
incredible,14,villain,23
strong,13,religions,22
amazing,12,questions,22
mormon,12,belief,21
real,11,start,21
boring,11,beliefs,21
thought-provoking,11,creepy,20
intense,11,house,19
grant,10,edge,18
big,10,suspense,18
old,9,game,18
enjoyable,9,twists,17
unsettling,9,mr.,17
human,9,women,17
small,9,job,16
long,9,premise,16
creepy,9,act,16
