Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
incredible,32,nolan,194
amazing,32,inception,151
complex,28,christopher,95
nolan,24,dream,83
interesting,23,plot,69
visual,21,mind,56
original,20,masterpiece,55
top,19,dreams,47
special,18,concept,41
emotional,17,cobb,39
real,17,effects,37
big,16,idea,36
wonderful,15,dicaprio,31
mind-bending,15,reality,30
creative,15,work,20
stunning,13,hans,20
subconscious,13,act,19
intense,13,music,19
unique,12,life,19
deep,11,visuals,19
beautiful,10,thriller,18
cillian,10,ideas,17
confusing,10,zimmer,16
spectacular,10,job,15
leonardo,10,los,14
entertaining,9,exposition,14
practical,9,bending,12
personal,9,genius,12
multiple,9,love,12
difficult,9,team,12
