Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
amazing,38,imax,95
emotional,34,nolan,55
incredible,27,masterpiece,55
beautiful,27,space,52
big,20,science,35
stunning,18,visuals,33
real,17,christopher,32
imax,16,interstellar,31
top,14,life,30
phenomenal,13,love,21
human,12,effects,20
nolan,11,soundtrack,19
visual,11,music,17
special,10,plot,16
classic,9,mcconaughey,14
short,8,fiction,13
outstanding,8,humanity,13
glad,7,matthew,12
deep,7,journey,12
old,7,exploration,11
worth,7,wow,10
immersive,7,breathtaking,9
profound,6,depth,9
scientific,6,daughter,9
interesting,6,emotions,8
wonderful,6,storytelling,8
unknown,5,heart,8
hard,5,words,8
spectacular,5,home,8
personal,5,sacrifice,8
