Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
funny,66,quan,81
quan,31,love,77
fun,28,huy,70
entertaining,20,fight,68
huy,19,comedy,60
terrible,18,plot,58
romantic,17,jackie,30
real,17,chan,29
hilarious,14,hurts,27
enjoyable,13,humor,27
violent,12,romance,26
hard,12,storyline,24
martial,11,violence,23
predictable,10,day,23
sean,10,chemistry,22
poor,10,valentine,22
top,10,life,19
cool,9,dialogue,18
short,9,funny,18
awful,9,marvin,18
disappointed,8,choreography,17
worth,8,sense,16
interesting,8,sequences,15
potential,8,lynch,14
comedic,8,ariana,14
stupid,7,actor,13
horrible,7,debose,13
likeable,7,past,13
old,7,fighting,12
quick,6,john,12
