Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
robert,38,pattinson,98
funny,34,mickey,67
interesting,33,ruffalo,65
political,33,plot,56
mickey,30,mark,50
bong,29,robert,45
amazing,24,comedy,33
long,19,joon,32
weird,19,satire,23
top,17,job,21
worth,15,life,21
unique,15,concept,21
cool,14,commentary,18
original,13,waste,17
fun,13,premise,16
real,13,themes,16
terrible,13,actor,16
incredible,12,book,15
dark,12,storyline,15
human,12,idea,14
big,11,trump,14
boring,11,act,14
horrible,11,humor,13
strong,11,sci-fi,13
satirical,10,parasite,13
stupid,10,boring,12
entertaining,9,película,12
creative,9,humanity,12
hard,8,half,11
enjoyable,8,joon-ho,11
