Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
tom,48,cruise,125
amazing,21,mission,119
long,18,plot,95
incredible,18,franchise,79
big,18,stunts,67
stupid,17,series,63
entertaining,15,tom,63
real,15,hunt,33
ethan,14,ethan,31
interesting,13,train,29
boring,13,sequences,28
single,12,atwell,23
old,12,car,23
hard,11,villain,22
emotional,11,fan,22
ridiculous,10,grace,22
special,10,reckoning,20
terrible,10,effects,20
huge,9,team,19
predictable,9,chase,19
worth,8,fallout,18
original,8,hayley,16
enjoyable,8,comedy,16
disappointing,8,edge,15
possible,8,bond,14
tired,8,dialogue,14
imposible,7,fight,13
visual,7,entity,12
poor,7,pieces,11
top,7,guy,11
