Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
italian,39,family,38
real,18,vince,29
sweet,13,nonnas,26
susan,11,vaughn,25
enjoyable,9,food,22
beautiful,9,love,18
funny,9,joe,17
wonderful,8,restaurant,17
american,8,heart,14
warm,7,mom,14
nonnas,7,life,12
predictable,6,mother,12
hard,6,nonna,12
feel-good,5,sarandon,10
happy,4,grandmother,10
positive,4,comedy,10
strong,3,bracco,9
fabulous,3,cardellini,9
beloved,3,feel,9
slow,3,day,9
emotional,3,culture,8
serious,3,cooking,8
meaningful,3,kitchen,8
boring,3,language,7
outstanding,3,vaccaro,7
lorraine,3,shire,7
talia,3,heartwarming,7
wrong,3,actresses,6
entertaining,3,brenda,6
wholesome,3,writing,6
