Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
original,71,horror,90
gothic,38,nosferatu,81
scary,38,vampire,77
slow,33,dracula,76
dark,24,eggers,60
boring,23,count,30
classic,22,remake,28
beautiful,22,stoker,28
old,21,plot,27
nosferatu,16,version,25
hard,16,bram,24
amazing,15,atmosphere,22
atmospheric,15,visuals,21
interesting,15,robert,20
terrible,14,masterpiece,20
stunning,13,costumes,17
long,12,orlock,17
fresh,11,dialogue,16
real,11,bill,15
big,11,orlok,15
incredible,10,tension,15
visual,10,fan,14
disappointed,10,dark,14
modern,10,creepy,14
poor,9,effects,13
top,9,coppola,13
creepy,9,boring,13
worth,9,waste,12
awful,8,love,12
ridiculous,8,work,12
