Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
funny,71,quaid,100
fun,32,jack,89
predictable,23,novocaine,57
entertaining,20,comedy,54
hilarious,18,plot,43
interesting,16,pain,31
original,15,twist,31
novocaine,13,premise,29
violent,13,guy,23
creative,12,gore,21
worth,12,ride,20
cool,12,man,20
stupid,11,concept,20
average,11,humor,20
hard,11,violence,17
amazing,11,hero,17
unique,11,fight,15
nathan,11,ways,14
big,10,twists,13
gross,10,love,13
special,9,funny,13
enjoyable,9,romance,12
nate,9,midthunder,11
easy,9,work,11
top,8,gory,11
wild,8,boys,10
gruesome,8,expectations,10
crazy,7,heart,10
potential,7,effects,10
comedic,7,sherry,10
