Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
real,36,tarantino,302
long,32,hollywood,133
slow,20,pitt,87
entertaining,20,dicaprio,71
classic,20,quentin,64
funny,20,brad,55
boring,19,plot,44
big,19,tate,44
amazing,16,sharon,35
late,16,robbie,34
interesting,13,dialogue,31
golden,13,manson,29
enjoyable,12,history,26
top,12,work,26
leonardo,12,violence,26
historical,12,hours,25
rick,12,life,23
old,12,love,22
nostalgic,12,masterpiece,22
brad,11,actor,21
cool,10,hour,21
incredible,10,leonardo,20
tarantino,10,leo,20
western,10,fan,20
quentin,10,cliff,19
typical,9,dalton,18
outstanding,9,margot,16
hilarious,8,rick,16
recent,8,fiction,16
alternate,8,letter,15
