Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
cillian,63,oppenheimer,136
long,28,nolan,112
important,26,murphy,86
nolan,25,history,63
incredible,25,christopher,54
historical,25,bomb,52
atomic,23,life,38
amazing,21,hours,34
big,20,masterpiece,27
nuclear,19,man,26
interesting,18,downey,25
boring,18,robert,23
scientific,17,hour,21
top,17,music,21
emotional,14,oscar,21
robert,14,science,19
complex,14,effects,18
slow,13,war,18
actual,12,dialogue,17
hard,12,work,16
uma,12,visuals,16
outstanding,11,soundtrack,16
worth,11,damon,15
special,10,star,15
phenomenal,10,direction,15
oppenheimer,9,physics,15
moral,9,job,15
difficult,9,plot,15
terrible,8,blunt,14
real,8,half,14
