Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
beautiful,73,darcy,107
romantic,58,prejudice,99
classic,37,jane,94
wonderful,28,pride,94
mr.,22,book,86
amazing,21,love,85
original,20,novel,78
elizabeth,20,adaptation,76
enjoyable,18,knightley,70
matthew,17,austen,67
modern,16,version,67
austen,16,keira,62
old,12,romance,52
strong,12,mr.,51
long,12,period,47
top,12,elizabeth,44
young,12,bennet,44
gorgeous,11,wright,43
several,11,macfadyen,32
keira,11,chemistry,28
slow,10,joe,28
emotional,10,sutherland,23
bbc,10,matthew,22
hard,10,women,20
single,9,music,20
favourite,9,life,19
boring,9,bennett,19
english,9,family,19
real,9,plot,19
interesting,8,job,18
