Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
original,56,star,468
amazing,25,wars,467
universe,24,disney,133
special,18,rogue,60
incredible,17,trilogy,51
strong,13,vader,47
top,12,hope,43
interesting,11,plot,35
beautiful,10,andor,33
real,10,franchise,29
emotional,10,empire,28
old,9,fan,23
worth,9,effects,20
memorable,9,war,20
terrible,8,death,18
cassian,8,visuals,17
star,8,jyn,16
darth,8,battle,16
enjoyable,8,prequel,15
fresh,8,jedi,15
modern,7,fans,14
peak,7,sequences,14
female,7,force,13
favourite,6,series,13
rebel,6,rebellion,13
single,6,darth,13
compelling,6,era,13
uma,6,addition,13
exciting,5,job,12
unique,5,erso,12
