Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
amazing,24,music,84
ryan,19,vampire,33
original,17,jordan,31
long,17,sinners,29
beautiful,14,vampires,29
slow,14,coogler,28
black,14,michael,26
phenomenal,13,horror,25
incredible,13,history,21
worth,11,masterpiece,21
uma,11,storyline,19
musical,10,soundtrack,16
top,9,love,15
historical,8,storytelling,14
unexpected,8,plot,13
unique,8,imax,13
classic,8,culture,12
imax,8,job,11
entertaining,7,writing,11
outstanding,7,blues,10
shot,7,amazing,9
wonderful,6,twins,9
scary,6,life,9
ive,5,work,9
irish,5,edge,8
special,5,messages,8
cool,5,genres,7
interesting,5,dusk,7
weird,5,dawn,7
exceptional,5,start,7
