Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
original,97,james,128
predictable,43,horror,79
slow,40,thriller,66
stupid,27,family,62
psychological,27,mcavoy,59
evil,26,plot,56
suspenseful,24,remake,42
uncomfortable,22,edge,34
american,18,tension,34
danish,17,evil,29
strong,16,suspense,29
dumb,16,couple,27
real,14,speak,26
worth,14,job,24
scary,14,actor,23
intense,13,guy,19
typical,12,version,19
unsettling,12,sense,18
boring,12,twist,17
enjoyable,11,daughter,16
incredible,11,decisions,15
white,10,burn,14
normal,9,husband,14
dark,9,home,14
hard,8,creepy,14
brutal,8,start,13
funny,8,reason,13
young,8,half,13
interesting,8,waste,12
outstanding,8,act,12
