Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
original,48,wars,216
amazing,27,star,211
jar,22,jar,140
phantom,21,maul,89
underrated,20,darth,77
obi-wan,19,menace,66
terrible,18,trilogy,62
qui-gon,15,binks,51
special,15,phantom,46
darth,15,lucas,46
liam,15,dialogue,44
interesting,14,duel,41
slow,13,george,40
boring,13,prequels,38
young,13,cgi,37
anakin,12,plot,31
big,12,fight,31
wooden,12,jedi,29
cool,12,fates,28
iconic,11,effects,28
classic,11,lightsaber,27
political,10,prequel,27
enjoyable,10,anakin,26
obi,10,franchise,25
entertaining,10,start,25
epic,10,neeson,24
ewan,9,fans,23
pretty,9,hate,22
incredible,9,battle,19
fine,9,series,19
