Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
phantom,36,wars,193
anakin,31,star,174
boring,25,dialogue,86
obi-wan,24,anakin,85
hayden,22,clones,71
cool,19,menace,61
underrated,18,cgi,57
terrible,18,padme,53
romantic,16,attack,49
original,16,plot,49
poor,15,romance,46
awful,14,episode,43
wooden,12,trilogy,37
entertaining,12,clone,36
forgettable,12,love,35
dark,12,lucas,34
interesting,12,dooku,33
old,11,christensen,32
special,11,battle,31
awkward,11,prequels,30
natalie,11,george,29
obi,10,fight,28
amazing,10,fett,28
slow,10,phantom,27
horrible,10,jedi,26
enjoyable,9,prequel,26
hard,9,count,24
low,9,skywalker,23
young,9,sand,22
rough,8,jango,22
