Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
anakin,63,wars,262
amazing,37,star,242
original,35,trilogy,93
obi-wan,29,sith,77
emotional,27,prequels,68
tragic,24,revenge,66
dark,22,anakin,52
obi,19,prequel,51
incredible,17,vader,45
big,17,palpatine,31
hayden,16,george,31
darth,15,lucas,31
iconic,14,fight,30
beautiful,11,franchise,29
top,11,dialogue,28
visual,10,masterpiece,26
special,10,jedi,26
lightsaber,9,skywalker,25
stunning,9,battle,25
epic,9,saga,25
old,8,cgi,25
single,8,plot,22
phenomenal,8,fall,21
sad,7,duel,20
intense,7,wan,20
ian,7,episode,19
20th,7,christensen,18
natalie,7,lightsaber,18
outstanding,7,epic,17
memorable,6,clone,17
