Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
classic,67,star,221
original,59,wars,203
special,47,hope,65
amazing,45,effects,64
iconic,36,lucas,48
old,32,george,44
luke,20,trilogy,43
darth,20,space,42
obi-wan,15,luke,41
incredible,14,empire,40
memorable,13,franchise,39
galactic,12,vader,38
simple,12,leia,30
top,12,skywalker,27
rebel,12,history,27
legendary,11,galaxy,26
big,11,han,25
creative,11,plot,25
influential,10,classic,25
fun,10,adventure,24
evil,10,death,24
cool,10,masterpiece,24
revolutionary,9,science,23
unique,9,fiction,23
possible,9,start,23
timeless,8,darth,22
visual,8,solo,21
favourite,8,ford,21
young,8,today,21
real,7,mark,19
