Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
original,135,trilogy,234
amazing,43,star,223
luke,31,wars,194
classic,29,jedi,99
iconic,26,luke,89
satisfying,25,vader,88
emotional,22,return,78
old,21,ewoks,61
darth,20,conclusion,60
epic,16,battle,52
big,14,empire,49
incredible,13,death,46
entertaining,12,saga,42
special,12,emperor,40
evil,10,skywalker,38
favourite,9,lucas,32
boring,9,leia,31
dark,9,space,31
fun,8,effects,29
sidious,8,plot,27
cool,8,endor,26
anakin,7,hope,26
interesting,7,franchise,26
complete,7,george,25
visual,7,series,24
fitting,7,han,24
worthy,7,darth,22
ewok,7,act,22
cute,7,father,20
personal,7,jabba,19
