Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
autistic,47,affleck,209
christian,32,ben,135
ben,26,accountant,110
interesting,24,plot,97
enjoyable,24,autism,70
unique,16,kendrick,60
strong,16,simmons,39
entertaining,16,sequel,38
big,14,thriller,34
hard,14,wolff,33
amazing,14,others,33
wrong,13,bernthal,32
low,13,critics,32
original,12,job,30
normal,12,man,30
special,11,twists,30
several,11,anna,30
intense,10,life,27
believable,10,twist,24
slow,10,john,23
real,9,jon,22
terrible,9,someone,21
top,9,storyline,19
predictable,9,father,19
incredible,9,flashbacks,18
criminal,9,sequences,17
fine,9,fan,16
cynthia,9,brother,16
cool,8,love,15
worth,8,hero,15
