Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
original,36,plot,57
funny,34,brothers,46
entertaining,19,humor,44
enjoyable,12,affleck,39
hard,10,sequel,39
slow,8,ben,34
humorous,7,chemistry,26
long,7,brother,24
amazing,7,comedy,24
comedic,6,accountant,21
hilarious,6,bernthal,19
big,6,braxton,18
interesting,6,jon,14
ben,6,storyline,14
autistic,6,relationship,13
serious,5,funny,12
brotherly,5,violence,12
poor,5,development,11
predictable,5,disappoint,8
fun,5,john,8
cool,5,chris,8
outstanding,4,fan,8
emotional,4,sense,7
christian,4,job,7
human,3,interaction,7
real,3,twists,7
special,3,kids,7
strong,3,laughs,7
difficult,3,fight,6
old,3,continuation,6
