Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
slow,31,malek,64
suspenseful,15,rami,63
predictable,11,plot,62
enjoyable,11,thriller,30
entertaining,11,amateur,26
worth,10,revenge,26
believable,10,cia,23
interesting,10,actor,21
smart,9,wife,20
big,8,suspense,20
spy,8,twist,15
lead,8,storyline,15
unexpected,8,spy,14
unbelievable,8,twists,14
typical,7,trailer,14
original,7,charlie,13
hard,7,edge,11
bourne,7,development,11
outstanding,6,start,11
strong,6,guy,11
exciting,6,malik,11
disappointing,5,pace,10
real,5,laurence,10
unique,5,job,10
poor,5,fishburne,9
amazing,5,man,8
anticlimactic,5,jason,8
phenomenal,5,clever,7
boring,5,beginning,7
cool,5,protagonist,7
