Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
amazing,45,joker,194
christian,43,batman,178
comic,37,heath,144
dark,27,superhero,75
batman,26,nolan,74
top,23,dark,73
incredible,20,knight,62
superhero,14,masterpiece,55
nolan,12,bale,54
unforgettable,10,christopher,47
long,10,book,33
heath,10,plot,26
favourite,9,hero,24
classic,9,villain,21
outstanding,9,gotham,20
harvey,8,history,16
gary,8,melhor,15
iconic,8,villains,15
big,7,city,15
complex,7,two-face,13
phenomenal,7,trilogy,13
short,6,crime,12
special,6,man,12
spectacular,6,chaos,11
legendary,6,sequel,11
real,6,job,11
exceptional,6,opinion,11
criminal,6,portrayal,10
caped,6,dent,10
gotham,6,wow,10
