Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
electric,58,critics,122
funny,31,robots,64
interesting,26,state,58
emotional,24,pratt,55
fun,24,chris,46
entertaining,22,family,41
special,22,plot,40
original,21,cgi,36
predictable,19,millie,35
enjoyable,18,brown,32
visual,16,effects,30
amazing,16,kids,27
worth,16,robot,26
chris,16,book,25
old,15,bobby,25
negative,14,russo,24
uma,13,heart,21
top,12,netflix,19
flat,11,humans,19
real,11,brother,18
hard,11,brothers,18
não,11,budget,17
dystopian,11,visuals,16
human,11,idea,16
low,10,source,15
incredible,10,material,15
wrong,10,work,15
fine,10,money,15
deep,9,storyline,14
big,9,hate,14
