Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
classic,46,godfather,170
iconic,30,family,95
amazing,28,corleone,83
top,24,brando,74
long,21,mafia,63
american,20,pacino,62
old,17,masterpiece,61
italian,16,michael,57
francis,15,coppola,56
incredible,13,vito,49
outstanding,12,marlon,48
dark,11,crime,40
important,11,ford,35
legendary,10,plot,30
beautiful,10,life,26
phenomenal,10,man,25
boring,9,business,24
memorable,9,work,23
interesting,9,violence,21
timeless,9,history,20
real,9,music,19
slow,8,art,17
uma,8,son,17
modern,7,francis,16
possible,7,lighting,16
famous,7,themes,15
young,7,puzo,15
all-time,7,gangster,15
multiple,7,mario,14
remarkable,6,direction,14
