Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
anya,35,gorge,181
enjoyable,29,romance,132
romantic,28,plot,80
interesting,25,chemistry,65
predictable,24,miles,60
original,23,horror,57
entertaining,18,taylor-joy,36
special,17,love,34
big,16,leads,31
taylor-joy,16,premise,30
amazing,15,half,28
strong,15,suspense,27
real,15,mystery,25
mysterious,14,effects,24
unique,13,teller,23
emotional,13,concept,22
fun,13,taylor,21
uma,12,monsters,21
top,12,depth,21
terrible,12,thriller,20
intense,12,storyline,20
unexpected,11,edge,19
hollow,11,cgi,19
dumb,11,game,19
worth,10,snipers,19
elite,10,start,18
long,10,holes,18
potential,10,joy,18
awful,10,mix,17
fine,9,genres,17
