Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
funny,67,horror,76
scary,53,comedy,63
dark,21,gore,41
horrible,19,kills,38
stupid,16,plot,31
não,14,humor,27
hilarious,14,deaths,24
terrible,13,stephen,24
original,12,king,23
predictable,12,destination,21
uma,12,money,20
ridiculous,11,james,19
creative,10,waste,19
serious,9,gory,18
top,9,perkins,17
gory,9,death,14
fun,9,theo,13
short,9,funny,12
entertaining,8,fan,11
dumb,8,storyline,11
real,8,sense,11
boring,8,terror,11
weird,7,work,10
comedic,7,boring,10
awful,7,kill,10
poor,7,película,9
interesting,7,hell,9
slow,7,ways,9
enjoyable,6,effects,9
theo,6,book,8
