Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
old,76,theron,111
interesting,43,plot,88
immortal,36,sequel,79
predictable,22,guard,56
comic,20,charlize,51
original,19,sequences,35
amazing,19,premise,32
female,19,fight,28
real,16,music,28
enjoyable,16,highlander,26
strong,15,concept,25
netflix,15,series,25
poor,14,immortals,23
special,14,soundtrack,22
charlize,14,superhero,21
fresh,13,team,18
cool,13,villain,18
big,13,layne,18
generic,13,development,18
long,12,netflix,17
terrible,12,group,17
boring,12,history,17
horrible,12,holes,17
potential,11,dialogue,16
hard,11,hours,16
emotional,11,book,16
unique,11,immortality,16
obvious,11,franchise,15
entertaining,10,flick,14
fun,9,sense,14
