Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
real,33,law,119
white,17,jude,92
interesting,15,hoult,49
intense,15,order,39
slow,12,events,28
amazing,10,thriller,28
important,10,nicholas,23
january,10,job,18
visual,10,crime,17
strong,10,life,15
nicholas,9,plot,15
jude,9,group,13
fbi,9,actor,12
political,8,series,11
dangerous,7,history,11
exceptional,7,fbi,10
relevant,7,pace,10
realistic,7,sheridan,10
believable,7,look,10
beautiful,7,kurzel,9
mysterious,7,today,9
incredible,7,agent,9
tye,7,quality,9
actual,7,magic,9
outstanding,7,justin,8
short,7,thrillers,8
top,6,edge,8
clear,6,fact,7
long,6,interest,7
worth,6,pacing,7
