Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
gross,28,horror,112
interesting,23,demi,109
terrible,23,substance,101
old,19,moore,91
young,17,body,58
weird,16,gore,46
margaret,16,beauty,40
original,16,life,37
hard,16,plot,36
ridiculous,15,effects,29
stupid,15,concept,29
horrible,13,qualley,27
special,12,oscar,27
unique,12,youth,25
unnecessary,12,women,24
top,12,idea,22
strong,10,hollywood,21
intense,10,hours,20
beautiful,10,star,20
awful,10,quaid,20
real,9,premise,19
visual,9,sue,19
cool,9,commentary,18
modern,9,fargeat,18
creative,9,grotesque,17
worth,8,dennis,17
wild,8,blood,17
bizarre,8,actress,17
wonderful,8,nudity,17
long,8,waste,17
