Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
marvel,34,marvel,177
mental,32,mcu,58
funny,28,thunderbolts,48
emotional,25,avengers,46
real,23,plot,34
dark,14,humor,32
big,11,team,31
amazing,11,health,29
interesting,11,florence,28
long,10,pugh,24
strong,9,villain,23
bucky,9,bob,22
incredible,9,yelena,20
original,9,endgame,19
hard,8,development,15
special,8,chemistry,14
worth,8,hero,14
human,8,storyline,14
entertaining,8,comedy,14
deep,7,depression,13
old,7,fan,13
recent,7,life,12
important,7,job,12
lewis,7,effects,12
comic,7,heart,12
slow,6,fans,11
boring,6,man,11
fresh,6,jokes,11
actual,6,writing,11
classic,6,superhero,10
