Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
special,36,transformers,243
optimus,34,bay,105
visual,29,effects,85
megan,28,michael,52
prime,24,cgi,52
classic,24,franchise,46
big,22,bumblebee,42
amazing,22,autobots,39
human,21,plot,37
cool,21,shia,31
fun,21,fox,30
impressive,19,decepticons,30
michael,17,labeouf,30
funny,15,robots,29
incredible,14,sam,26
military,14,megatron,24
shia,14,sequels,23
old,13,series,21
interesting,13,humor,20
entertaining,12,childhood,19
dumb,12,blockbuster,19
terrible,11,kid,18
top,9,humans,17
memorable,9,explosions,17
original,9,car,16
stupid,9,transformer,16
general,8,sense,15
favourite,8,jokes,14
outstanding,8,visuals,14
long,8,heart,14
