Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
prime,30,transformers,214
special,29,moon,89
human,27,bay,86
megan,23,dark,78
optimus,19,plot,59
cool,18,franchise,55
amazing,18,michael,50
terrible,15,effects,46
emotional,15,revenge,43
stupid,15,series,40
visual,14,fallen,38
original,14,cgi,37
big,14,battle,35
awful,13,sam,31
incredible,12,sentinel,31
long,12,fox,28
enjoyable,12,megatron,26
fun,10,robots,26
entertaining,10,explosions,23
real,10,trilogy,19
boring,10,prime,19
old,10,improvement,19
michael,10,installment,17
wrong,9,half,17
interesting,9,shockwave,16
funny,9,shia,16
impressive,9,autobots,15
poor,9,job,15
action-packed,8,sequences,15
fine,8,humans,15
