Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
terrible,37,transformers,181
prime,20,fallen,89
optimus,19,revenge,83
megan,19,bay,69
human,18,plot,60
special,17,sequel,47
original,16,michael,46
cool,15,effects,37
unnecessary,15,franchise,33
amazing,15,cgi,31
funny,14,explosions,29
stupid,14,battle,27
old,13,fight,26
visual,13,megatron,25
dumb,12,series,25
big,11,sam,24
enjoyable,11,humor,24
fun,10,jokes,23
entertaining,10,robots,23
loud,10,fox,19
long,9,autobots,19
sexual,8,humans,17
horrible,8,sense,16
mindless,8,installment,16
hard,7,optimus,15
interesting,7,mess,14
michael,7,decepticons,13
slow,7,abomination,13
pretty,7,transformer,12
shia,6,opinion,11
