Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
human,42,transformers,252
terrible,38,franchise,66
optimus,25,bumblebee,49
big,23,beasts,45
prime,22,rise,41
cool,18,bay,41
predictable,14,plot,37
original,14,maximals,36
interesting,14,series,32
horrible,13,cgi,32
uma,13,autobots,30
amazing,12,transformer,30
poor,12,humans,29
boring,11,robots,24
special,11,mirage,24
white,10,fan,24
giant,10,wars,22
entertaining,10,sense,21
old,10,beast,21
hard,9,storyline,19
real,9,joe,18
similar,9,michael,18
pete,8,robot,18
low,8,prime,18
fun,7,earth,17
flat,7,unicron,17
visual,7,ramos,16
huge,7,effects,16
fine,6,sequences,16
worth,6,money,15
