Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
prime,41,transformers,253
optimus,38,bay,102
terrible,32,franchise,78
special,29,plot,75
long,16,knight,63
boring,16,michael,58
awful,16,effects,39
michael,15,extinction,38
human,15,hopkins,37
original,15,age,35
amazing,14,prime,31
complete,13,bumblebee,30
cool,13,sense,30
huge,13,mark,29
hard,13,anthony,28
enjoyable,13,series,25
big,12,wahlberg,25
horrible,12,mess,24
real,11,robots,24
old,10,megatron,24
giant,10,earth,24
visual,10,reason,22
loud,8,transformer,21
worst,8,cgi,20
aspect,8,explosions,19
entertaining,8,revenge,19
stupid,8,battle,19
transformer,8,history,18
worth,7,decepticons,18
half,7,ratio,18
