Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
terrible,34,bella,124
twilight,30,twilight,100
romantic,27,vampire,83
boring,21,love,75
awful,19,edward,66
beautiful,19,book,64
amazing,17,books,60
human,17,series,58
robert,16,vampires,46
young,16,romance,45
special,16,saga,40
weird,15,pattinson,37
real,15,plot,34
funny,14,stewart,31
awkward,13,girl,27
stupid,12,dialogue,24
teen,12,franchise,23
interesting,11,girls,21
big,11,school,21
poor,11,jacob,21
dull,11,cullen,20
actual,10,life,20
ridiculous,10,effects,17
wrong,10,swan,16
teenage,10,fans,16
hard,10,family,16
mysterious,9,rest,16
strong,9,adaptation,15
uma,9,meyer,14
worth,8,soundtrack,14
