Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
scary,57,game,286
original,40,horror,147
interesting,17,dawn,75
worth,14,jump,65
fun,13,scares,65
creative,13,video,43
big,12,plot,43
special,11,gore,36
groundhog,11,adaptation,27
predictable,11,day,26
entertaining,10,effects,24
funny,10,concept,21
hard,10,fans,21
cool,9,night,21
similar,9,games,19
enjoyable,9,fan,19
typical,8,friends,18
terrible,8,death,17
happy,8,clover,16
uma,8,pero,15
practical,8,flick,14
real,7,sequel,13
unique,7,kills,13
emotional,7,sense,13
amazing,6,scare,13
old,6,source,12
fresh,6,storyline,12
actual,6,group,12
david,6,sandberg,12
poor,5,nights,12
