Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
realistic,72,war,221
real,65,warfare,73
intense,57,soldiers,44
military,34,combat,39
visceral,25,seals,31
amazing,20,depiction,29
navy,19,mission,28
modern,19,mendoza,24
hard,16,reality,24
brutal,16,men,22
alex,14,chaos,21
long,13,life,20
big,13,edge,20
immersive,13,garland,19
actual,13,battle,19
iraq,11,guys,18
top,11,bradleys,18
authentic,11,realism,17
slow,10,tension,17
phenomenal,9,team,17
short,9,service,15
worth,8,work,15
private,8,house,14
gritty,8,events,14
horrible,7,heart,13
american,7,day,13
outstanding,7,development,13
incredible,7,situation,12
black,7,iraq,12
single,7,intensity,12
