Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
musical,148,grande,79
wicked,45,songs,71
amazing,34,cynthia,62
original,34,music,60
ariana,34,ariana,56
incredible,26,singing,49
beautiful,23,erivo,47
long,23,musicals,43
special,19,broadway,42
big,17,wizard,39
wonderful,16,elphaba,38
real,15,sets,33
spectacular,14,glinda,32
popular,13,costumes,31
magical,12,play,30
green,11,stage,29
hard,10,adaptation,26
old,10,song,24
top,10,production,23
outstanding,10,fan,23
emotional,10,plot,22
horrible,9,life,22
interesting,9,witch,21
stunning,9,visuals,20
cynthia,9,effects,19
funny,8,show,19
huge,8,gravity,19
terrible,7,hour,19
boring,7,book,18
glad,7,hours,18
